['jacob', 'joseph', 'laban', 'land', 'abram', 'god', 'lord', 'abraham', 'sons', 'came']
['moses', 'lord', 'aaron', 'pharaoh', 'sockets', 'israel', 'people', 'egypt', 'tabernacle', 'land']
['offering', 'lord', 'priest', 'unclean', 'atonement', 'burnt', 'plague', 'aaron', 'altar', 'skin']
['lord', 'offering', 'moses', 'children', 'israel', 'congregation', 'aaron', 'tabernacle', 'one', 'families']
['lord', 'god', 'land', 'go', 'people', 'day', 'possess', 'israel', 'man', 'egypt']
['joshua', 'lord', 'children', 'israel', 'suburbs', 'tribe', 'jordan', 'cities', 'land', 'king']
['gideon', 'israel', 'lord', 'samson', 'abimelech', 'children', 'jephthah', 'went', 'men', 'came']
['naomi', 'boaz', 'ruth', 'kinsman', 'glean', 'reapers', 'moabitess', 'gleaned', 'law', 'elimelech']
['saul', 'david', 'samuel', 'lord', 'philistines', 'jonathan', 'israel', 'philistine', 'came', 'eli']
['david', 'absalom', 'joab', 'king', 'saul', 'lord', 'abner', 'israel', 'son', 'came']
['solomon', 'king', 'lord', 'israel', 'house', 'jeroboam', 'ahab', 'elijah', 'son', 'came']
['king', 'lord', 'elisha', 'israel', 'jehu', 'son', 'house', 'came', 'judah', 'hezekiah']
['sons', 'son', 'david', 'begat', 'lord', 'suburbs', 'israel', 'house', 'god', 'thousand']
['lord', 'king', 'judah', 'house', 'israel', 'solomon', 'god', 'jerusalem', 'jehoshaphat', 'levites']
['children', 'god', 'hundred', 'king', 'house', 'jerusalem', 'cyrus', 'sons', 'artaxerxes', 'ezra']
['children', 'son', 'repaired', 'levites', 'jeshua', 'hundred', 'god', 'tobiah', 'sanballat', 'people']
['esther', 'haman', 'mordecai', 'king', 'ahasuerus', 'kings', 'jews', 'shushan', 'queen', 'provinces']
['job', 'god', 'man', 'almighty', 'mine', 'hast', 'earth', 'wicked', 'behold', 'away']
['lord', 'god', 'selah', 'praise', 'hast', 'soul', 'mine', 'ever', 'earth', 'people']
['man', 'wicked', 'fool', 'wisdom', 'wise', 'heart', 'lord', 'understanding', 'instruction', 'righteous']
['vanity', 'man', 'sun', 'wisdom', 'heart', 'vexation', 'labour', 'god', 'time', 'better']
['beloved', 'spouse', 'love', 'like', 'myrrh', 'fair', 'lilies', 'breasts', 'roes', 'twins']
['lord', 'people', 'come', 'god', 'hosts', 'behold', 'earth', 'israel', 'one', 'zion']
